agedays,param,sd.median
1882,HEADCM,
1883,HEADCM,
1884,HEADCM,
1885,HEADCM,
1886,HEADCM,
1887,HEADCM,
1888,HEADCM,
1889,HEADCM,
1890,HEADCM,
1891,HEADCM,
1892,HEADCM,
1893,HEADCM,
1894,HEADCM,
1895,HEADCM,
1896,HEADCM,
1897,HEADCM,
1898,HEADCM,
1899,HEADCM,
1900,HEADCM,
1901,HEADCM,
1902,HEADCM,
1903,HEADCM,
1904,HEADCM,
1905,HEADCM,
1906,HEADCM,
1907,HEADCM,
1908,HEADCM,
1909,HEADCM,
1910,HEADCM,
1911,HEADCM,
1912,HEADCM,
1913,HEADCM,
1914,HEADCM,
1915,HEADCM,
1916,HEADCM,
1917,HEADCM,
1918,HEADCM,
1919,HEADCM,
1920,HEADCM,
1921,HEADCM,
1922,HEADCM,
1923,HEADCM,
1924,HEADCM,
1925,HEADCM,
1926,HEADCM,
1927,HEADCM,
1928,HEADCM,
1929,HEADCM,
1930,HEADCM,
1931,HEADCM,
1932,HEADCM,
1933,HEADCM,
1934,HEADCM,
1935,HEADCM,
1936,HEADCM,
1937,HEADCM,
1938,HEADCM,
1939,HEADCM,
1940,HEADCM,
1941,HEADCM,
1942,HEADCM,
1943,HEADCM,
1944,HEADCM,
1945,HEADCM,
1946,HEADCM,
1947,HEADCM,
2192,HEADCM,
2193,HEADCM,
2194,HEADCM,
2195,HEADCM,
2196,HEADCM,
2197,HEADCM,
2198,HEADCM,
2199,HEADCM,
2200,HEADCM,
2201,HEADCM,
2202,HEADCM,
2203,HEADCM,
2204,HEADCM,
2205,HEADCM,
2206,HEADCM,
2207,HEADCM,
2208,HEADCM,
2209,HEADCM,
2210,HEADCM,
2211,HEADCM,
2212,HEADCM,
2213,HEADCM,
2214,HEADCM,
2215,HEADCM,
2216,HEADCM,
2217,HEADCM,
2218,HEADCM,
2219,HEADCM,
2220,HEADCM,
2221,HEADCM,
2222,HEADCM,
2223,HEADCM,
2224,HEADCM,
2225,HEADCM,
2226,HEADCM,
2227,HEADCM,
2228,HEADCM,
2229,HEADCM,
2230,HEADCM,
2231,HEADCM,
2232,HEADCM,
2233,HEADCM,
2234,HEADCM,
2235,HEADCM,
2236,HEADCM,
2237,HEADCM,
2238,HEADCM,
2239,HEADCM,
2240,HEADCM,
2241,HEADCM,
2242,HEADCM,
