agedays,sex,cdc_wt_l,cdc_wt_m,cdc_wt_s,cdc_ht_l,cdc_ht_m,cdc_ht_s,cdc_hc_l,cdc_hc_m,cdc_hc_s,cdc_wt_csd_pos,cdc_wt_csd_neg,cdc_ht_csd_pos,cdc_ht_csd_neg,cdc_hc_csd_pos,cdc_hc_csd_neg,cdc_bmi_l,cdc_bmi_m,cdc_bmi_s,cdc_bmi_csd_pos,cdc_bmi_csd_neg
27,0,1.3519992,4.3529129,.14189056,.064489976,54.409355,.046391614,4.1664376,38.073162,.044356916,.59089589,.65490937,2.636692,2.4174881,1.4927521,1.9957504,,,,,
27,1,1.2530546,4.0943918,.1353825,-.48402441,53.23307,.04512063,-1.5146831,36.880779,.040715095,.537503,.57650089,2.5728188,2.2500992,1.6743069,1.3629742,,,,,
28,0,1.3359487,4.3819742,.14156756,.031351522,54.542027,.046232603,4.1523952,38.141319,.044140961,.59469914,.65583074,2.6378784,2.4118881,1.4896717,1.9859371,,,,,
28,1,1.2445974,4.1191387,.13516903,-.45834884,53.354301,.045003396,-1.5197423,36.946472,.04054606,.54046535,.57824409,2.568285,2.2521381,1.66992,1.3600082,,,,,
29,0,1.3199897,4.4109392,.14124864,-.0010984204,54.672901,.0460786,4.138104,38.208542,.043929316,.5984931,.65675795,2.6391239,2.4065361,1.4866619,1.9763031,,,,,
29,1,1.2362067,4.143816,.13495778,-.43296432,53.474083,.044889867,-1.5246166,37.011288,.040380545,.54341745,.57998145,2.5639439,2.2542324,1.665617,1.3571072,,,,,
30,0,1.3041233,4.4398079,.14093374,-.032872863,54.802021,.045929465,4.1235714,38.274845,.043721873,.60227776,.65769076,2.6404305,2.4014225,1.483717,1.9668446,,,,,
30,1,1.2278816,4.1684241,.1347487,-.40786853,53.592438,.044779934,-1.5293088,37.075233,.040218476,.54635978,.5817132,2.5597935,2.2563801,1.6613941,1.354269,,,,,
31,0,1.2883509,4.4685802,.14062279,-.063984804,54.929436,.045785047,4.1088037,38.340256,.043518547,.60605335,.65862906,2.641798,2.3965378,1.4808407,1.9575577,,,,,
31,1,1.2196214,4.1929626,.13454176,-.38305905,53.709408,.044673488,-1.5338215,37.138336,.040059764,.54929209,.58343899,2.5558243,2.2585773,1.6572495,1.3514919,,,,,
